from,to,value
6803,6901,-0.027777777777777776
6803,6907,-0.03571428571428571
6803,7214,-0.016826923076923076
6803,7313,-0.024193548387096774
6803,8215,-0.05
6803,8905,-0.016666666666666666
2716,8449,-0.017857142857142856
2801,3702,-0.04285714285714286
2803,5005,-0.03571428571428571
2804,2812,-0.03260869565217391
2805,5005,-0.05
2806,2913,-0.027777777777777776
2807,2917,-0.024844720496894408
2808,5301,-0.032467532467532464
2809,4502,-0.04
2809,2834,-0.03125
2809,3103,-0.031818181818181815
2809,3105,-0.022222222222222223
2810,2840,-0.05454545454545454
2811,2816,-0.02203856749311295
2812,2816,-0.06818181818181818
2812,2841,-0.05555555555555555
2812,2850,-0.1
2812,2920,-0.09090909090909091
2812,3702,-0.1
2812,3705,-0.125
2812,3817,-0.03333333333333333
2812,3818,-0.10714285714285714
2812,3910,-0.075
2812,8444,-0.1
2812,8109,-0.07142857142857142
2812,8113,-0.0625
2812,8401,-0.08333333333333333
2812,8420,-0.075
2812,8457,-0.08333333333333333
2812,9012,-0.10714285714285714
2812,7009,-0.041666666666666664
2812,3507,-0.057692307692307696
2812,2907,-0.08333333333333333
2812,2813,-0.057692307692307696
2812,2815,-0.043478260869565216
2812,2823,-0.03571428571428571
2812,2826,-0.039473684210526314
2812,2837,-0.041666666666666664
2812,2842,-0.1111111111111111
2812,2843,-0.05
2812,2847,-0.0375
2812,2853,-0.0625
2812,2901,-0.027777777777777776
2812,2916,-0.05
2812,2927,-0.07142857142857142
2812,2929,-0.06818181818181818
2812,3205,-0.05357142857142857
2812,3208,-0.022222222222222223
2812,3212,-0.03333333333333333
2812,3404,-0.05357142857142857
2812,3405,-0.034482758620689655
2812,3506,-0.05
2812,3701,-0.08333333333333333
2812,3810,-0.07142857142857142
2812,3815,-0.04411764705882353
2812,3904,-0.043478260869565216
2812,3905,-0.04411764705882353
2812,3906,-0.0625
2812,3907,-0.045454545454545456
2812,3908,-0.0625
2812,3909,-0.058823529411764705
2812,3911,-0.09090909090909091
2812,3912,-0.07692307692307693
2812,3919,-0.047619047619047616
2812,3920,-0.023255813953488372
2812,3921,-0.02702702702702703
2812,4009,-0.03409090909090909
2812,5404,-0.047619047619047616
2812,5501,-0.04411764705882353
2812,5502,-0.075
2812,5505,-0.02857142857142857
2812,5906,-0.05
2812,5907,-0.045454545454545456
2812,5908,-0.04411764705882353
2812,6805,-0.04
2812,6813,-0.046875
2812,6815,-0.043478260869565216
2812,6903,-0.04411764705882353
2812,6909,-0.07692307692307693
2812,7002,-0.06818181818181818
2812,7003,-0.10714285714285714
2812,7004,-0.08333333333333333
2812,7014,-0.08333333333333333
2812,7107,-0.1
2812,7109,-0.075
2812,7115,-0.04411764705882353
2812,7220,-0.0625
2812,7409,-0.05
2812,7506,-0.057692307692307696
2812,7507,-0.06818181818181818
2812,8101,-0.0625
2812,8102,-0.08333333333333333
2812,8108,-0.057692307692307696
2812,8207,-0.047619047619047616
2812,8209,-0.0625
2812,8406,-0.04411764705882353
2812,8407,-0.05357142857142857
2812,8409,-0.037037037037037035
2812,8413,-0.03409090909090909
2812,8414,-0.047619047619047616
2812,8427,-0.04411764705882353
2812,8431,-0.020833333333333332
2812,8468,-0.043478260869565216
2812,8469,-0.038461538461538464
2812,8475,-0.07692307692307693
2812,8479,-0.05263157894736842
2812,8484,-0.03125
2812,8486,-0.08333333333333333
2812,8505,-0.05357142857142857
2812,8514,-0.06666666666666667
2812,8538,-0.034482758620689655
2812,8702,-0.02586206896551724
2812,8707,-0.05
2812,8708,-0.04
2812,8803,-0.028846153846153848
2812,9010,-0.046875
2812,9011,-0.041666666666666664
2812,9017,-0.075
2812,9024,-0.05357142857142857
2812,9031,-0.045454545454545456
2812,9032,-0.0375
2812,9201,-0.05555555555555555
2812,9209,-0.05
2812,9999,-0.014423076923076924
2814,3102,-0.02021276595744681
2816,7603,-0.030303030303030304
2817,2927,-0.03007518796992481
2820,2913,-0.037037037037037035
2821,8444,-0.06666666666666667
2822,5005,-0.05555555555555555
2824,5104,-0.027777777777777776
2825,3702,-0.031578947368421054
2827,3703,-0.034013605442176874
2828,2850,-0.02
2829,4705,-0.045454545454545456
2830,5005,-0.038461538461538464
2830,2852,-0.035897435897435895
2831,3211,-0.03409090909090909
2831,8444,-0.1
2831,5104,-0.041666666666666664
2831,9604,-0.052083333333333336
2832,5005,-0.0375
2835,8104,-0.025925925925925925
2836,8401,-0.024691358024691357
2839,9016,-0.025
2840,4007,-0.03896103896103896
2841,7106,-0.024691358024691357
2845,9016,-0.06666666666666667
2846,5507,-0.056818181818181816
2848,3818,-0.07936507936507936
2848,8107,-0.030864197530864196
2848,8402,-0.043209876543209874
2849,8111,-0.034722222222222224
2850,7504,-0.045454545454545456
2902,3702,-0.05333333333333334
2903,9012,-0.07142857142857142
2904,3704,-0.03636363636363636
2906,2913,-0.052083333333333336
2908,2927,-0.06493506493506493
2908,2942,-0.04132231404958678
2909,2910,-0.041025641025641026
2909,3902,-0.02619047619047619
2910,3702,-0.06153846153846154
2911,2913,-0.05128205128205128
2912,2913,-0.052083333333333336
2913,2919,-0.08333333333333333
2913,8444,-0.1
2913,5901,-0.05
2913,8445,-0.07407407407407407
2913,2923,-0.0392156862745098
2913,2925,-0.0641025641025641
2913,3812,-0.049019607843137254
2913,4201,-0.031746031746031744
2913,5403,-0.044444444444444446
2913,6703,-0.030303030303030304
2913,6814,-0.05555555555555555
2913,7011,-0.036231884057971016
2913,7305,-0.052083333333333336
2913,8201,-0.027777777777777776
2913,8404,-0.041666666666666664
2913,8472,-0.06944444444444445
2913,8545,-0.041666666666666664
2913,8546,-0.049019607843137254
2913,8711,-0.046296296296296294
2913,9608,-0.037037037037037035
2914,5005,-0.05263157894736842
2917,2927,-0.04081632653061224
2918,5005,-0.05
2919,3207,-0.05
2919,4809,-0.041666666666666664
2919,9016,-0.075
2919,3403,-0.039473684210526314
2919,7905,-0.044642857142857144
2919,8203,-0.039473684210526314
2919,8204,-0.03333333333333333
2919,9008,-0.039473684210526314
2919,9103,-0.041666666666666664
2920,2936,-0.0481283422459893
2920,3204,-0.053475935828877004
2920,7415,-0.03896103896103896
2922,2935,-0.0625
2922,3504,-0.03333333333333333
2924,2928,-0.050505050505050504
2924,2935,-0.06944444444444445
2924,5005,-0.08333333333333333
2924,3203,-0.04040404040404041
2926,3707,-0.06493506493506493
3825,2927,-0.019305019305019305
5803,2927,-0.047619047619047616
7614,2927,-0.03571428571428571
2928,7114,-0.024793388429752067
2930,3702,-0.06666666666666667
2932,2935,-0.04411764705882353
2933,2935,-0.06818181818181818
2933,2938,-0.0427807486631016
2934,2935,-0.0673076923076923
2934,3302,-0.02834008097165992
2935,2937,-0.038461538461538464
2935,2941,-0.041666666666666664
2935,3003,-0.025
2935,3004,-0.026515151515151516
2937,3001,-0.038461538461538464
2939,8445,-0.030303030303030304
2940,8449,-0.03896103896103896
3002,3705,-0.044642857142857144
3005,3703,-0.03571428571428571
3006,3703,-0.04081632653061224
3104,5301,-0.02857142857142857
3201,4206,-0.029411764705882353
3202,8445,-0.03508771929824561
3206,3703,-0.03759398496240601
3207,3210,-0.023076923076923078
3209,3821,-0.022764227642276424
3211,3401,-0.015151515151515152
3213,9616,-0.03333333333333333
3214,8416,-0.023529411764705882
3215,9016,-0.03636363636363636
3301,4206,-0.01488095238095238
3303,9016,-0.02962962962962963
3304,3702,-0.021621621621621623
3305,5301,-0.02976190476190476
3306,3910,-0.017948717948717947
3307,4502,-0.021621621621621623
3402,8307,-0.0215311004784689
3407,8444,-0.05333333333333334
3501,9016,-0.046153846153846156
3501,3502,-0.03643724696356275
3503,8449,-0.031055900621118012
3505,8449,-0.04201680672268908
3601,8109,-0.05357142857142857
3601,9303,-0.02976190476190476
3602,3603,-0.0195578231292517
3603,8401,-0.027777777777777776
3604,8104,-0.045454545454545456
3606,9016,-0.02962962962962963
3702,3703,-0.08571428571428572
3702,7111,-0.08571428571428572
3702,3824,-0.041666666666666664
3702,4002,-0.042105263157894736
3702,7102,-0.025
3702,7112,-0.01951219512195122
3702,8103,-0.046153846153846156
3702,8436,-0.032
3702,8506,-0.05555555555555555
3702,8526,-0.03333333333333333
3702,8543,-0.07272727272727272
3702,8710,-0.046153846153846156
3702,9001,-0.04
3702,9018,-0.03076923076923077
3702,9030,-0.042105263157894736
3702,9207,-0.06153846153846154
3703,8805,-0.05357142857142857
3703,3802,-0.02857142857142857
3703,3822,-0.03896103896103896
3703,7019,-0.03428571428571429
3703,7602,-0.010638297872340425
3703,7802,-0.011904761904761904
3703,9019,-0.031746031746031744
3704,3707,-0.07142857142857142
3704,5801,-0.05
3704,7221,-0.06666666666666667
3704,3918,-0.046153846153846156
3704,8303,-0.03888888888888889
3704,8703,-0.032
3705,7105,-0.044642857142857144
3705,7406,-0.04807692307692308
3706,5007,-0.03571428571428571
3707,7405,-0.06493506493506493
3707,3911,-0.07792207792207792
3707,3819,-0.04201680672268908
3707,3903,-0.031055900621118012
3707,6906,-0.05194805194805195
3707,8106,-0.05194805194805195
3707,8429,-0.027649769585253458
3707,8548,-0.014652014652014652
3707,9602,-0.04201680672268908
3707,9612,-0.05042016806722689
3801,7014,-0.05982905982905983
3803,3807,-0.045454545454545456
3803,4701,-0.06060606060606061
3803,8109,-0.05194805194805195
3803,4804,-0.0371900826446281
3803,8903,-0.01652892561983471
3804,8109,-0.05102040816326531
3805,3806,-0.04155124653739612
3807,8416,-0.044444444444444446
3807,4404,-0.019736842105263157
3807,6811,-0.023809523809523808
3809,4006,-0.02619047619047619
3811,4006,-0.03888888888888889
3813,3821,-0.044444444444444446
3816,3821,-0.02619047619047619
3817,3901,-0.029333333333333333
3818,7006,-0.07936507936507936
3818,8523,-0.045112781954887216
3821,8449,-0.047619047619047616
3821,3913,-0.031746031746031744
3821,8433,-0.03333333333333333
3823,4007,-0.0380952380952381
3910,3915,-0.0140625
3914,8444,-0.06153846153846154
3916,8454,-0.029166666666666667
3917,8307,-0.019762845849802372
3922,8416,-0.027083333333333334
3923,5602,-0.01488095238095238
3924,4903,-0.023809523809523808
3925,6601,-0.022222222222222223
3926,8449,-0.027649769585253458
4001,4015,-0.03349282296650718
4003,5504,-0.037037037037037035
4004,8449,-0.024489795918367346
4005,8109,-0.032467532467532464
4006,8449,-0.047619047619047616
4007,5902,-0.05102040816326531
4007,4015,-0.03896103896103896
4007,5504,-0.047619047619047616
4007,5402,-0.03296703296703297
4007,5503,-0.03896103896103896
4007,5513,-0.03361344537815126
4007,8001,-0.03296703296703297
4007,8110,-0.0380952380952381
4008,7221,-0.04040404040404041
4010,8408,-0.03208556149732621
4011,5902,-0.025210084033613446
5902,4013,-0.03007518796992481
5902,7312,-0.039285714285714285
5902,8418,-0.02806122448979592
5902,8527,-0.04395604395604396
4014,9110,-0.02717391304347826
4015,6116,-0.0374331550802139
4016,8511,-0.03009259259259259
4017,5005,-0.03
4101,4701,-0.01616161616161616
4105,4501,-0.018518518518518517
4106,5307,-0.014423076923076924
4107,4502,-0.022857142857142857
4112,4501,-0.05
4113,4206,-0.022222222222222223
4114,4501,-0.031746031746031744
4115,7110,-0.024844720496894408
4202,5307,-0.0375
4203,9613,-0.02403846153846154
4205,4502,-0.025
4206,4501,-0.041666666666666664
4301,4302,-0.022569444444444444
4303,5007,-0.047619047619047616
4303,5211,-0.03431372549019608
4303,7118,-0.016666666666666666
4401,4703,-0.019642857142857142
4402,4903,-0.015151515151515152
4403,4701,-0.015594541910331383
4405,9016,-0.04
4406,8401,-0.025089605734767026
4407,4705,-0.016363636363636365
4408,4701,-0.018518518518518517
4410,8449,-0.027777777777777776
4413,8439,-0.023109243697478993
4414,5005,-0.0375
4415,4806,-0.023809523809523808
4416,4504,-0.03759398496240601
4417,4903,-0.02976190476190476
4418,8439,-0.023166023166023165
4419,9617,-0.030303030303030304
4420,5311,-0.022222222222222223
4421,4903,-0.021505376344086023
4501,4503,-0.10416666666666667
4501,5209,-0.028735632183908046
4501,6102,-0.01937984496124031
4501,6113,-0.025252525252525252
4501,6114,-0.02032520325203252
4501,6403,-0.02252252252252252
4501,7016,-0.03571428571428571
4501,4502,-0.13333333333333333
4501,5515,-0.0392156862745098
4501,6406,-0.023148148148148147
4503,4504,-0.08928571428571429
6102,6101,-0.019469983775013522
4803,4502,-0.029411764705882353
4819,4502,-0.017857142857142856
5306,4502,-0.05
5306,5301,-0.05952380952380952
5306,5811,-0.030303030303030304
5306,6303,-0.03070175438596491
5306,9028,-0.03571428571428571
5608,4502,-0.021621621621621623
6111,4502,-0.02857142857142857
6112,4502,-0.022857142857142857
6202,4502,-0.027586206896551724
6202,6201,-0.024630541871921183
6203,4502,-0.017241379310344827
6206,4502,-0.022727272727272728
6209,4502,-0.025
6304,4502,-0.038461538461538464
6306,4502,-0.020689655172413793
6310,4502,-0.020512820512820513
6405,4502,-0.02564102564102564
4502,6908,-0.03076923076923077
4502,7404,-0.009433962264150943
4502,7413,-0.03636363636363636
4502,8511,-0.05
4502,8512,-0.034782608695652174
4502,8537,-0.03333333333333333
4502,8547,-0.034782608695652174
4502,8712,-0.03636363636363636
4502,9104,-0.05454545454545454
4502,6501,-0.044444444444444446
4502,6910,-0.0380952380952381
4502,8544,-0.02631578947368421
8511,7320,-0.0325
9104,9016,-0.05454545454545454
9104,9029,-0.03977272727272727
4601,5305,-0.022857142857142857
4602,5307,-0.03
4701,4705,-0.06666666666666667
4701,9301,-0.026455026455026454
4701,5207,-0.020833333333333332
4701,8425,-0.03111111111111111
4702,4705,-0.05
4702,4802,-0.039473684210526314
4703,4705,-0.06428571428571428
4704,8109,-0.05102040816326531
4705,7501,-0.04
4706,8307,-0.03535353535353535
4707,5906,-0.014814814814814815
4801,7221,-0.037037037037037035
4805,8449,-0.02976190476190476
4806,8509,-0.045454545454545456
4806,4818,-0.02066115702479339
4806,4902,-0.03134796238244514
4806,7007,-0.0371900826446281
4806,7224,-0.0427807486631016
4806,7604,-0.02097902097902098
4806,8421,-0.028409090909090908
4806,8483,-0.03146853146853147
4806,8487,-0.03272727272727273
4807,9016,-0.04
4808,8401,-0.02880658436213992
4809,7408,-0.02666666666666667
4810,7218,-0.0392156862745098
4811,8109,-0.030612244897959183
4812,8460,-0.04285714285714286
4813,9016,-0.03076923076923077
4816,8444,-0.06
4817,4903,-0.026041666666666668
5805,5007,-0.03571428571428571
5805,4820,-0.018092105263157895
4821,4903,-0.022222222222222223
4822,8603,-0.026923076923076925
4823,4903,-0.02976190476190476
4901,9012,-0.024630541871921183
5106,4903,-0.03333333333333333
4903,5806,-0.03787878787878788
4903,6002,-0.049019607843137254
4903,6212,-0.027777777777777776
4903,8476,-0.037037037037037035
4903,8528,-0.03333333333333333
4903,8902,-0.031746031746031744
4903,9404,-0.026041666666666668
4903,9504,-0.05128205128205128
4903,6601,-0.07142857142857142
4903,5508,-0.027777777777777776
4903,6004,-0.049019607843137254
4903,9615,-0.1
6002,6006,-0.029411764705882353
4904,9012,-0.06593406593406594
4905,7221,-0.03333333333333333
4906,9604,-0.029166666666666667
4907,7110,-0.017006802721088437
4908,8444,-0.058823529411764705
4909,8111,-0.046875
4909,9615,-0.05
4910,8444,-0.034782608695652174
4911,8439,-0.02264808362369338
5002,5004,-0.05555555555555555
5002,5003,-0.06153846153846154
5004,6110,-0.019753086419753086
5004,5005,-0.05555555555555555
5107,5005,-0.04411764705882353
5110,5005,-0.045454545454545456
5113,5005,-0.06818181818181818
5204,5005,-0.0234375
5405,5005,-0.07142857142857142
5405,8007,-0.031055900621118012
5504,5005,-0.05555555555555555
5504,5510,-0.03535353535353535
5604,5005,-0.05
6215,5005,-0.03333333333333333
6507,5005,-0.0375
6603,5005,-0.04411764705882353
6804,5005,-0.047619047619047616
7015,5005,-0.10714285714285714
7015,7104,-0.05714285714285714
7015,9114,-0.061224489795918366
7110,5108,-0.05714285714285714
7110,5005,-0.07142857142857142
7110,9705,-0.015197568389057751
7110,9706,-0.018433179723502304
7117,5005,-0.03125
7311,5005,-0.015
7411,5005,-0.0375
8213,6210,-0.01838235294117647
8213,5005,-0.0625
8301,5005,-0.03409090909090909
8308,5005,-0.03409090909090909
8415,5005,-0.046875
8444,5006,-0.05
8444,5406,-0.04
8444,5507,-0.075
8444,5603,-0.03076923076923077
8444,5802,-0.027586206896551724
8444,6701,-0.075
8444,6808,-0.037037037037037035
8444,6810,-0.025806451612903226
8444,7020,-0.04
8444,7225,-0.05333333333333334
8444,7304,-0.02857142857142857
8444,7315,-0.047058823529411764
8444,7318,-0.032
8444,7412,-0.04
8444,7607,-0.045454545454545456
8444,7907,-0.03333333333333333
8444,8211,-0.05333333333333334
8444,8423,-0.05333333333333334
8444,8441,-0.0380952380952381
8444,8455,-0.05
8444,5005,-0.1
8444,9307,-0.06153846153846154
8444,8454,-0.06666666666666667
8444,5311,-0.06666666666666667
8444,8446,-0.06666666666666667
8444,9609,-0.03529411764705882
8444,8447,-0.08888888888888889
8444,8477,-0.05714285714285714
8444,8480,-0.044444444444444446
8444,8481,-0.034782608695652174
8444,8482,-0.047058823529411764
8444,9107,-0.04
8444,9205,-0.06666666666666667
8444,9603,-0.023076923076923078
8444,9607,-0.047058823529411764
8444,9618,-0.03
8450,5005,-0.039473684210526314
8460,5005,-0.075
8464,5005,-0.046875
8501,5005,-0.04
8516,5005,-0.03409090909090909
8601,6904,-0.024691358024691357
8601,7216,-0.021604938271604937
8601,7306,-0.021021021021021023
8601,7307,-0.03535353535353535
8601,8410,-0.0392156862745098
8601,5005,-0.05555555555555555
8601,8608,-0.03292181069958848
8601,9304,-0.037037037037037035
8604,5005,-0.05555555555555555
8714,5005,-0.03571428571428571
8715,7301,-0.027972027972027972
8715,5005,-0.038461538461538464
8715,9610,-0.038461538461538464
9003,5005,-0.038461538461538464
9004,5005,-0.0625
